Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
173,Ander Guevara,ESP,MF,Alavés,27,1997,4.4,0,0,0,4,6,0,1,1,4,0,0,0,22,0,6,0.0
174,Pape Gueye,SEN,MF,Villarreal,25,1999,3.4,3,1,1,9,6,0,1,5,4,0,0,0,16,2,2,50.0
175,Hugo Guillamón,ESP,MF,Valencia,24,2000,3.4,2,0,0,5,4,0,1,5,4,0,0,0,15,5,2,71.4
176,Arda Güler,TUR,"MF,FW",Real Madrid,19,2005,2.7,1,0,0,4,7,2,7,1,1,0,0,0,8,1,4,20.0
177,Gerard Gumbau,ESP,MF,Rayo Vallecano,29,1994,2.0,0,0,0,3,1,0,7,0,4,0,0,0,4,3,7,30.0
178,Jon Guridi,ESP,MF,Alavés,29,1995,4.2,2,0,0,4,4,1,1,4,3,0,0,0,19,3,7,30.0
179,Gorka Guruzeta,ESP,FW,Athletic Club,28,1996,5.0,0,0,0,10,8,1,1,2,2,0,0,0,17,6,24,20.0
180,Miguel Gutiérrez,ESP,DF,Girona,23,2001,7.0,0,0,0,2,5,2,24,7,9,0,0,0,39,1,3,25.0
181,Munir El Haddadi,MAR,"MF,FW",Leganés,29,1995,1.7,0,0,0,3,4,1,2,0,2,0,0,0,7,2,6,25.0
182,Sébastien Haller,CIV,FW,Leganés,30,1994,2.9,0,0,0,3,2,4,0,0,0,0,0,0,6,19,11,63.3
183,Javi Hernández,ESP,DF,Leganés,26,1998,5.7,0,0,0,14,3,0,21,8,5,0,0,0,17,6,2,75.0
184,Jorge Herrando,ESP,DF,Osasuna,23,2001,4.1,2,0,0,2,0,0,0,1,1,0,0,0,7,8,5,61.5
185,Ander Herrera,ESP,MF,Athletic Club,35,1989,1.5,2,0,0,5,2,0,0,2,1,0,0,0,6,1,0,100.0
186,Sergio Herrera,ESP,GK,Osasuna,31,1993,8.0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0
187,Yangel Herrera,VEN,MF,Girona,26,1998,5.1,1,0,0,14,12,0,14,10,12,0,0,0,33,7,3,70.0
188,Juan Herzog,ESP,DF,Las Palmas,21,2003,2.0,0,0,0,0,2,0,0,1,2,0,0,0,9,4,3,57.1
189,Omar El Hilali,MAR,DF,Espanyol,21,2003,8.0,3,0,0,10,6,0,10,7,14,0,1,0,22,12,9,57.1
190,Pablo Ibáñez,ESP,MF,Osasuna,26,1998,2.3,1,0,0,5,2,0,1,7,1,0,0,0,12,5,3,62.5
191,Stanis Idumbo,BEL,FW,Sevilla,19,2005,0.1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.0
192,Iglesias,ESP,DF,Getafe,26,1998,7.2,1,0,0,12,8,0,24,11,14,0,0,0,26,10,9,52.6
193,Borja Iglesias,ESP,FW,Celta Vigo,31,1993,4.4,0,0,0,5,8,4,1,3,2,0,0,0,9,2,4,33.3
194,Kelechi Iheanacho,NGA,FW,Sevilla,27,1996,3.0,0,0,0,3,0,6,0,0,0,0,0,0,3,1,4,20.0
195,Karl Jakob Hein,EST,GK,Valladolid,22,2002,8.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0
196,Adnan Januzaj,BEL,"MF,FW",Las Palmas,29,1995,0.3,1,0,0,0,2,0,5,0,0,0,0,0,3,0,1,0.0
