Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
166,Gabriel Gudmundsson,SWE,DF,Lille,25,1999.0,4.5,0,0,0,10,8,3,17,2,7,0,0,0,16,2,1,66.7
167,Evann Guessand,CIV,FW,Nice,23,2001.0,5.5,0,0,0,8,12,4,5,4,3,0,0,0,10,4,11,26.7
168,Herba Guirassy,FRA,FW,Nantes,18,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
169,Massadio Haïdara,MLI,DF,Brest,31,1992.0,1.9,0,0,0,2,3,0,3,2,2,0,0,0,9,1,0,100.0
170,Achraf Hakimi,MAR,DF,Paris S-G,25,1998.0,4.9,0,0,0,1,5,3,15,8,8,0,0,0,33,3,3,50.0
171,Florent Hanin,ALG,DF,Angers,34,1990.0,3.5,1,0,0,1,6,0,19,5,10,0,0,0,19,5,8,38.5
172,Amine Harit,MAR,MF,Marseille,27,1997.0,4.1,0,0,0,4,7,0,6,3,3,1,0,0,16,1,4,20.0
173,Hans Hateboer,NED,DF,Rennes,30,1994.0,3.7,1,0,0,3,6,1,11,4,3,0,0,0,13,6,5,54.5
174,Luis Henrique,BRA,FW,Marseille,22,2001.0,5.2,0,0,0,2,1,2,7,1,2,0,0,0,14,0,0,0.0
175,Ki-Jana Hoever,NED,DF,Auxerre,22,2002.0,3.2,2,1,1,4,1,0,12,2,4,0,0,0,9,3,2,60.0
176,Cédric Hountondji,BEN,DF,Angers,30,1994.0,3.0,0,0,0,2,1,0,0,4,4,0,0,0,9,5,3,62.5
177,Ilyes Housni,FRA,MF,Le Havre,19,2005.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
178,Pierre Højbjerg,DEN,"MF,DF",Marseille,29,1995.0,5.9,1,0,0,3,8,0,0,15,11,0,0,0,48,4,5,44.4
179,George Ilenikhena,FRA,"FW,MF",Monaco,18,2006.0,2.2,0,0,0,3,3,3,0,1,0,0,0,0,4,4,0,100.0
180,Ismaily,BRA,DF,Lille,34,1990.0,0.9,1,0,0,1,0,0,3,0,0,0,0,0,5,2,0,100.0
181,Yanis Issoufou,FRA,"FW,MF",Montpellier,17,2006.0,0.8,0,0,0,1,0,0,2,0,3,0,0,0,2,0,1,0.0
182,Junya Ito,JPN,FW,Reims,31,1993.0,5.8,0,0,0,1,8,1,40,1,7,0,0,0,26,3,4,42.9
183,Ismail Jakobs,SEN,DF,Monaco,25,1999.0,2.0,0,0,0,1,3,0,14,2,5,0,0,0,5,1,6,14.3
184,Jordan James,WAL,MF,Rennes,20,2004.0,0.3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0.0
185,Karl-Johan Johnsson,SWE,GK,Strasbourg,34,1990.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0
186,Paul Joly,FRA,DF,Auxerre,24,2000.0,4.1,1,0,0,2,12,0,25,11,11,0,0,0,17,4,4,50.0
187,Jota,POR,FW,Rennes,25,1999.0,0.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0
188,Antoine Joujou,FRA,"MF,FW",Le Havre,21,2003.0,3.3,1,0,0,2,1,0,8,3,5,0,0,0,18,2,8,20.0
189,Jubal,BRA,DF,Auxerre,31,1993.0,5.4,2,0,0,4,2,0,0,4,6,0,1,0,16,13,4,76.5
190,Hamed Junior Traorè,CIV,MF,Auxerre,24,2000.0,3.6,0,0,0,5,4,1,14,3,5,0,0,0,22,4,5,44.4
191,Yaya Kader Fofana,MLI,"MF,FW",Reims,20,2004.0,4.1,2,0,0,8,3,0,3,2,7,0,0,0,20,3,6,33.3
